Differential gene expression analysis between FOXP3high vs. FOXP3low samples										
geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	siggenes3	siggenes1	siggenes2	siggenes4
AC010970.1	2.71215579	7.223099663	2.251736549	0.028597961	0.11045108	-3.853267763	NA	not_sig	NA	other
MTRNR2L12	2.506146254	6.708923228	3.291190724	0.001798226	0.020842463	-1.417245183	NA	FOXP3_high	MTRNR2L12	other
MTRNR2L8	2.213912337	5.115209371	2.968333264	0.004522291	0.03604625	-2.190547986	NA	FOXP3_high	MTRNR2L8	other
IGHGP	-2.063634279	6.001807638	-2.525148839	0.014659341	0.073055929	-3.283535597	NA	not_sig	NA	other
IGKV1-39	-1.976713604	3.870866758	-3.637731915	6.33E-04	0.011716527	-0.404093826	NA	FOXP3_low	IGKV1-39	other
MTRNR2L6	1.929896285	2.910648783	2.984299255	0.00432602	0.035143785	-2.062821808	NA	FOXP3_high	MTRNR2L6	other
IGHV3-23	-1.8806518	7.011966447	-4.003389753	1.99E-04	0.006439474	0.576618207	NA	FOXP3_low	IGHV3-23	other
MT-ND3	1.870454772	3.20188943	3.242710443	0.002072047	0.022668309	-1.440388606	NA	FOXP3_high	MT-ND3	other
IGHV1-3	-1.85914391	4.331143634	-2.42865091	0.018655798	0.084855388	-3.384538356	NA	not_sig	NA	other
IGHV3-30	-1.847577878	4.870692426	-3.547242927	8.36E-04	0.013725612	-0.695674393	NA	FOXP3_low	IGHV3-30	other
MT-CO2	1.838596873	6.688901247	4.654110729	2.29E-05	0.002363376	2.577774098	NA	FOXP3_high	MT-CO2	other
MT-ND1	1.825836728	4.22040291	4.396838076	5.47E-05	0.003545303	1.792895015	NA	FOXP3_high	MT-ND1	other
AL845454.2	1.809622142	1.264136363	2.770964319	0.00773921	0.049508394	-2.529316511	NA	FOXP3_high	AL845454.2	other
MTRNR2L1	1.770268844	2.960567677	2.793863604	0.007279399	0.04759821	-2.507129006	NA	FOXP3_high	MTRNR2L1	other
MT-ND4	1.766865886	5.37962982	4.121811806	1.36E-04	0.005329825	0.941613879	NA	FOXP3_high	MT-ND4	other
IGLV7-43	-1.765014232	3.007166722	-2.637827723	0.0109856	0.060745367	-2.856386644	NA	not_sig	NA	other
F13A1	1.75813575	5.815018227	3.572435415	7.74E-04	0.013152382	-0.656986819	F13A1	FOXP3_high	F13A1	WH
MT-ATP6	1.753374681	4.474777072	3.908814355	2.70E-04	0.007289365	0.336108292	NA	FOXP3_high	MT-ATP6	other
IGKV3D-20	-1.73118204	3.093433883	-2.894163195	0.0055477	0.040739435	-2.281563986	NA	FOXP3_low	IGKV3D-20	other
IGLV2-8	-1.723304107	6.206146601	-3.532740669	8.73E-04	0.014016886	-0.770773499	NA	FOXP3_low	IGLV2-8	other
MT-ND4L	1.652887318	1.776406699	4.181577745	1.12E-04	0.004870145	1.132606469	NA	FOXP3_high	MT-ND4L	other
IGHV4-4	-1.649069355	3.413008035	-2.19182377	0.032902427	0.120842422	-3.807604797	NA	not_sig	NA	other
IGKV1-12	-1.638818003	3.809042793	-3.349086004	0.001516033	0.018927133	-1.177087824	NA	FOXP3_low	IGKV1-12	other
IGHV3-64	-1.632812478	2.934093045	-2.725304011	0.00873695	0.053092911	-2.660758209	NA	not_sig	NA	other
IGLV2-11	-1.606868662	5.626807814	-3.486203577	0.001005749	0.014989955	-0.885308834	NA	FOXP3_low	IGLV2-11	other
MT-ND5	1.601566327	5.808759542	4.104897311	1.44E-04	0.005399613	0.883794013	NA	FOXP3_high	MT-ND5	other
IGLC3	-1.600769421	8.21782568	-3.488155013	1.00E-03	0.014939801	-0.886645964	NA	FOXP3_low	IGLC3	other
IGHV3-48	-1.597848352	4.070158535	-2.76415215	0.007881078	0.04998647	-2.628751709	NA	FOXP3_low	IGHV3-48	other
IGLV2-14	-1.593445419	6.629557108	-3.240611045	0.002084752	0.022718375	-1.565446751	NA	FOXP3_low	IGLV2-14	other
MT-ND2	1.592520154	3.893617725	3.921010986	2.60E-04	0.007145209	0.384351081	NA	FOXP3_high	MT-ND2	other
IGKV2-30	-1.58645297	4.349853942	-3.614740251	6.80E-04	0.01230073	-0.486905109	NA	FOXP3_low	IGKV2-30	other
MTATP6P1	1.55780491	1.561774557	3.900783074	0.000277197	0.007405283	0.333748794	NA	FOXP3_high	MTATP6P1	other
IGKV3-20	-1.554995222	8.019587408	-3.605780531	6.98E-04	0.01250631	-0.565363717	NA	FOXP3_low	IGKV3-20	other
IGKV3-11	-1.544883546	6.448184051	-4.216156944	9.96E-05	0.004636992	1.215898324	NA	FOXP3_low	IGKV3-11	other
IGLV3-9	-1.535987153	2.456719894	-3.354333092	0.001492644	0.018809078	-1.131626207	NA	FOXP3_low	IGLV3-9	other
IGLV3-10	-1.526586685	2.590551786	-2.860181305	0.006086273	0.042558685	-2.343649625	NA	FOXP3_low	IGLV3-10	other
IGHV3-11	-1.525735707	4.804980476	-3.596056376	7.20E-04	0.012601595	-0.553514352	NA	FOXP3_low	IGHV3-11	other
PTCH2	1.511762542	3.483387383	2.179725764	0.033837862	0.123030442	-3.852255015	NA	not_sig	NA	other
MT-CYB	1.50986266	5.981161074	4.554003683	3.22E-05	0.00282506	2.262624712	NA	FOXP3_high	MT-CYB	other
IGHV3-20	-1.504024016	3.924257735	-2.931847104	0.005002385	0.038226611	-2.229552998	NA	FOXP3_low	IGHV3-20	other
IGLC1	-1.487006547	6.777592182	-2.987789113	0.004284191	0.034886721	-2.212419599	NA	FOXP3_low	IGLC1	other
IGKV1D-12	-1.480892417	4.013949713	-2.482450413	0.016320804	0.078333457	-3.260230014	NA	not_sig	NA	other
IGKV1-33	-1.47405415	3.029484455	-2.669055724	0.010128237	0.058047542	-2.794845	NA	not_sig	NA	other
LPAR4	-1.463067268	2.295578009	-1.4079371	0.165111841	0.340298504	-5.012774867	NA	not_sig	NA	other
IGHV1-46	-1.460693711	5.690588213	-2.861282811	0.006068081	0.042558685	-2.498189466	NA	FOXP3_low	IGHV1-46	other
IGKV1-5	-1.460104447	8.214781172	-3.466392893	0.001067734	0.015459896	-0.946691769	NA	FOXP3_low	IGKV1-5	other
IGHV5-10-1	-1.447360598	0.991701953	-1.937719185	0.058107552	0.175485204	-4.166678879	NA	not_sig	NA	other
IGHG4	-1.444114331	7.727256844	-2.447426864	0.017808733	0.082806017	-3.461839333	NA	not_sig	NA	other
IGKV2-24	-1.434492606	3.957776091	-3.223334554	0.002192126	0.0233604	-1.506163148	NA	FOXP3_low	IGKV2-24	other
IGLV2-23	-1.423714078	6.96988532	-3.533764775	8.71E-04	0.013999506	-0.775680162	NA	FOXP3_low	IGLV2-23	other
IGHG3	-1.411048513	8.860365608	-3.402444898	0.00129357	0.0173461	-1.103762731	NA	FOXP3_low	IGHG3	other
IGHV3-74	-1.40822164	6.343561024	-3.059307195	0.003505844	0.03096317	-2.030004106	NA	FOXP3_low	IGHV3-74	other
PKHD1L1	-1.407579986	2.953590059	-3.176435825	0.002510495	0.025544996	-1.592116443	NA	FOXP3_low	PKHD1L1	other
IGHV1-69	-1.403280885	5.204097254	-2.944658563	0.004828649	0.037427364	-2.280559187	NA	FOXP3_low	IGHV1-69	other
AP002336.5	1.39606461	2.657827329	3.728945466	4.77E-04	0.00981506	-0.138386163	NA	FOXP3_high	AP002336.5	other
KLK13	1.39086693	3.694604702	3.459042215	0.001091645	0.015651558	-0.89904601	NA	FOXP3_high	KLK13	other
TNFRSF17	-1.377921228	2.747481235	-4.160292834	1.20E-04	0.005025559	1.079423914	NA	FOXP3_low	TNFRSF17	other
MZB1	-1.377892921	5.606857368	-3.651233598	6.07E-04	0.011450866	-0.429014379	NA	FOXP3_low	MZB1	other
IGHV4-39	-1.364541643	5.31443774	-3.009542583	0.004031847	0.033615085	-2.125042817	NA	FOXP3_low	IGHV4-39	other
IGF2	1.362694027	3.146797703	4.21047353	1.02E-04	0.004695998	1.232026865	NA	FOXP3_high	IGF2	other
IGKV3-15	-1.36090346	6.99496304	-3.183839258	0.002457498	0.025215492	-1.715968725	NA	FOXP3_low	IGKV3-15	other
IGKV1-6	-1.350491055	4.078311028	-2.220734912	0.030758696	0.115565235	-3.79573772	NA	not_sig	NA	other
IGHV3-21	-1.347990648	6.581954625	-3.349322556	0.001514971	0.018927133	-1.277749303	NA	FOXP3_low	IGHV3-21	other
AC233755.1	-1.337784133	3.992086101	-1.826872967	0.073472246	0.205087564	-4.494635708	NA	not_sig	NA	other
IGLV2-18	-1.332050756	2.564631648	-2.628707379	0.011248237	0.061699572	-2.870101835	NA	not_sig	NA	other
MTRNR2L4	1.331664771	2.615600035	2.544077554	0.013973119	0.070922883	-3.041816829	NA	not_sig	NA	other
IGLV3-25	-1.31886694	4.617981715	-3.022169715	0.003891809	0.032960362	-2.059664531	NA	FOXP3_low	IGLV3-25	other
SAA1	1.315478355	2.296480625	4.355700235	6.27E-05	0.003742244	1.647551687	SAA1	FOXP3_high	SAA1	WH
FOXP3	1.306840805	1.516070738	13.97789001	3.14E-19	5.38E-15	28.68237066	NA	FOXP3_high	NA	other
COL1A1	1.303622288	10.50401428	4.376183181	5.86E-05	0.003660467	1.730943261	COL1A1	FOXP3_high	COL1A1	WH
IGHV3-53	-1.300639458	4.627469887	-2.605484332	0.011943092	0.064048785	-3.027317483	NA	not_sig	NA	other
IGLV3-27	-1.299208136	1.824037833	-2.883412156	0.00571311	0.041400602	-2.270819853	NA	FOXP3_low	IGLV3-27	other
IGHV2-70	-1.292846381	2.10352552	-3.184590124	0.002452182	0.025191135	-1.554672438	NA	FOXP3_low	IGHV2-70	other
IGHV3-73	-1.287651006	3.386555328	-2.195334606	0.032635264	0.120240726	-3.783364905	NA	not_sig	NA	other
IGKV1D-33	-1.284247275	5.592899717	-2.751699457	0.008146627	0.051048944	-2.756037631	NA	not_sig	NA	other
IGKV1-17	-1.283252874	4.345333867	-2.342246334	0.023039679	0.096751961	-3.581706541	NA	not_sig	NA	other
GSTT2B	1.273243846	0.667133769	4.486762409	4.04E-05	0.00312979	2.003547044	NA	FOXP3_high	GSTT2B	other
IGKV1-16	-1.2657877	4.054222135	-2.555948204	0.013557793	0.069639235	-3.099545064	NA	not_sig	NA	other
IGKV3D-11	-1.263514935	5.004925893	-3.129523185	0.002872131	0.027378267	-1.804840933	NA	FOXP3_low	IGKV3D-11	other
CCL22	1.25800247	3.455121577	5.022054034	6.40E-06	0.001425145	3.732102114	NA	FOXP3_high	CCL22	other
AC234301.3	-1.256995654	4.611111574	-2.187086571	0.033265966	0.121674427	-3.9121196	NA	not_sig	NA	other
IGLC2	-1.2505139	9.448730666	-3.168187423	0.002570807	0.025771441	-1.704471265	NA	FOXP3_low	IGLC2	other
IGKC	-1.244359001	11.04647587	-2.959589432	0.004633266	0.036480309	-2.180114016	NA	FOXP3_low	IGKC	other
MT-CO1	1.243497484	10.10337989	5.020249338	6.44E-06	0.001425145	3.745086474	NA	FOXP3_high	MT-CO1	other
IGLL5	-1.242571917	8.432749197	-2.853510815	0.006197526	0.042858516	-2.518812784	NA	FOXP3_low	IGLL5	other
